t,phi,omega,phi_anal,omega_anal,T,U,E
0.000000,0.069813,0.000000,0.069813,-0.000000,0.000000,-9.786103,-9.786103
0.010000,0.069779,-0.006842,0.069779,-0.006848,0.000023,-9.786127,-9.786103
0.020000,0.069676,-0.013677,0.069676,-0.013688,0.000094,-9.786197,-9.786103
0.030000,0.069505,-0.020499,0.069505,-0.020516,0.000210,-9.786313,-9.786103
0.040000,0.069266,-0.027301,0.069266,-0.027323,0.000373,-9.786476,-9.786103
0.050000,0.068960,-0.034076,0.068959,-0.034104,0.000581,-9.786684,-9.786103
0.060000,0.068585,-0.040818,0.068584,-0.040851,0.000833,-9.786936,-9.786103
0.070000,0.068143,-0.047520,0.068142,-0.047558,0.001129,-9.787232,-9.786103
0.080000,0.067635,-0.054175,0.067633,-0.054218,0.001467,-9.787571,-9.786103
0.090000,0.067060,-0.060778,0.067058,-0.060825,0.001847,-9.787950,-9.786103
0.100000,0.066419,-0.067320,0.066417,-0.067372,0.002266,-9.788369,-9.786103
0.110000,0.065714,-0.073797,0.065711,-0.073854,0.002723,-9.788826,-9.786103
0.120000,0.064944,-0.080202,0.064940,-0.080263,0.003216,-9.789320,-9.786103
0.130000,0.064110,-0.086528,0.064106,-0.086593,0.003744,-9.789847,-9.786103
0.140000,0.063213,-0.092770,0.063208,-0.092838,0.004303,-9.790406,-9.786103
0.150000,0.062255,-0.098920,0.062249,-0.098992,0.004893,-9.790996,-9.786103
0.160000,0.061235,-0.104974,0.061229,-0.105049,0.005510,-9.791613,-9.786103
0.170000,0.060156,-0.110925,0.060148,-0.111004,0.006152,-9.792256,-9.786103
0.180000,0.059017,-0.116768,0.059009,-0.116849,0.006817,-9.792921,-9.786103
0.190000,0.057821,-0.122496,0.057812,-0.122579,0.007503,-9.793606,-9.786103
0.200000,0.056568,-0.128104,0.056558,-0.128190,0.008205,-9.794309,-9.786103
0.210000,0.055259,-0.133587,0.055248,-0.133674,0.008923,-9.795026,-9.786103
0.220000,0.053896,-0.138939,0.053885,-0.139027,0.009652,-9.795755,-9.786103
0.230000,0.052481,-0.144154,0.052468,-0.144245,0.010390,-9.796494,-9.786103
0.240000,0.051014,-0.149229,0.051000,-0.149320,0.011135,-9.797238,-9.786103
0.250000,0.049497,-0.154157,0.049482,-0.154249,0.011882,-9.797986,-9.786103
0.260000,0.047931,-0.158935,0.047916,-0.159027,0.012630,-9.798733,-9.786103
0.270000,0.046319,-0.163556,0.046302,-0.163649,0.013375,-9.799479,-9.786103
0.280000,0.044661,-0.168018,0.044644,-0.168110,0.014115,-9.800218,-9.786103
0.290000,0.042959,-0.172314,0.042941,-0.172406,0.014846,-9.800949,-9.786103
0.300000,0.041215,-0.176442,0.041196,-0.176534,0.015566,-9.801669,-9.786103
0.310000,0.039430,-0.180397,0.039411,-0.180488,0.016272,-9.802375,-9.786103
0.320000,0.037607,-0.184175,0.037587,-0.184265,0.016960,-9.803064,-9.786103
0.330000,0.035748,-0.187773,0.035726,-0.187861,0.017629,-9.803733,-9.786103
0.340000,0.033853,-0.191186,0.033830,-0.191273,0.018276,-9.804379,-9.786103
0.350000,0.031924,-0.194412,0.031901,-0.194497,0.018898,-9.805001,-9.786103
0.360000,0.029965,-0.197448,0.029941,-0.197531,0.019493,-9.805596,-9.786103
0.370000,0.027976,-0.200289,0.027951,-0.200371,0.020058,-9.806161,-9.786103
0.380000,0.025960,-0.202935,0.025934,-0.203014,0.020591,-9.806695,-9.786103
0.390000,0.023918,-0.205381,0.023892,-0.205458,0.021091,-9.807194,-9.786103
0.400000,0.021853,-0.207626,0.021826,-0.207701,0.021554,-9.807658,-9.786103
0.410000,0.019766,-0.209668,0.019738,-0.209740,0.021980,-9.808084,-9.786103
0.420000,0.017660,-0.211504,0.017632,-0.211573,0.022367,-9.808470,-9.786103
0.430000,0.015537,-0.213132,0.015507,-0.213199,0.022713,-9.808816,-9.786103
0.440000,0.013398,-0.214551,0.013368,-0.214615,0.023016,-9.809119,-9.786103
0.450000,0.011247,-0.215760,0.011216,-0.215821,0.023276,-9.809380,-9.786103
0.460000,0.009084,-0.216758,0.009053,-0.216815,0.023492,-9.809595,-9.786103
0.470000,0.006912,-0.217542,0.006880,-0.217597,0.023662,-9.809766,-9.786103
0.480000,0.004734,-0.218114,0.004701,-0.218165,0.023787,-9.809890,-9.786103
0.490000,0.002551,-0.218471,0.002518,-0.218519,0.023865,-9.809968,-9.786103
0.500000,0.000365,-0.218614,0.000332,-0.218659,0.023896,-9.809999,-9.786103
0.510000,-0.001821,-0.218542,-0.001855,-0.218584,0.023880,-9.809984,-9.786103
0.520000,-0.004005,-0.218257,-0.004039,-0.218295,0.023818,-9.809921,-9.786103
0.530000,-0.006185,-0.217757,-0.006220,-0.217792,0.023709,-9.809812,-9.786103
0.540000,-0.008360,-0.217043,-0.008394,-0.217075,0.023554,-9.809657,-9.786103
0.550000,-0.010526,-0.216117,-0.010561,-0.216145,0.023353,-9.809457,-9.786103
0.560000,-0.012681,-0.214979,-0.012717,-0.215003,0.023108,-9.809211,-9.786103
0.570000,-0.014824,-0.213629,-0.014860,-0.213650,0.022819,-9.808922,-9.786103
0.580000,-0.016953,-0.212071,-0.016989,-0.212088,0.022487,-9.808590,-9.786103
0.590000,-0.019065,-0.210304,-0.019101,-0.210318,0.022114,-9.808217,-9.786103
0.600000,-0.021158,-0.208331,-0.021195,-0.208341,0.021701,-9.807804,-9.786103
0.610000,-0.023231,-0.206154,-0.023267,-0.206160,0.021250,-9.807353,-9.786103
0.620000,-0.025281,-0.203774,-0.025317,-0.203777,0.020762,-9.806865,-9.786103
0.630000,-0.027306,-0.201195,-0.027342,-0.201194,0.020240,-9.806343,-9.786103
0.640000,-0.029304,-0.198418,-0.029340,-0.198413,0.019685,-9.805788,-9.786103
0.650000,-0.031274,-0.195447,-0.031310,-0.195438,0.019100,-9.805203,-9.786103
0.660000,-0.033212,-0.192284,-0.033248,-0.192271,0.018487,-9.804590,-9.786103
0.670000,-0.035119,-0.188933,-0.035155,-0.188916,0.017848,-9.803951,-9.786103
0.680000,-0.036990,-0.185397,-0.037026,-0.185375,0.017186,-9.803289,-9.786103
0.690000,-0.038826,-0.181678,-0.038861,-0.181652,0.016504,-9.802607,-9.786103
0.700000,-0.040623,-0.177782,-0.040659,-0.177752,0.015803,-9.801907,-9.786103
0.710000,-0.042381,-0.173712,-0.042416,-0.173676,0.015088,-9.801191,-9.786103
0.720000,-0.044097,-0.169471,-0.044132,-0.169431,0.014360,-9.800464,-9.786103
0.730000,-0.045770,-0.165064,-0.045804,-0.165019,0.013623,-9.799726,-9.786103
0.740000,-0.047398,-0.160495,-0.047431,-0.160446,0.012879,-9.798983,-9.786103
0.750000,-0.048979,-0.155769,-0.049012,-0.155715,0.012132,-9.798235,-9.786103
0.760000,-0.050513,-0.150891,-0.050545,-0.150831,0.011384,-9.797487,-9.786103
0.770000,-0.051997,-0.145865,-0.052028,-0.145799,0.010638,-9.796742,-9.786103
0.780000,-0.053430,-0.140696,-0.053461,-0.140625,0.009898,-9.796001,-9.786103
0.790000,-0.054810,-0.135389,-0.054841,-0.135312,0.009165,-9.795268,-9.786103
0.800000,-0.056137,-0.129949,-0.056167,-0.129867,0.008443,-9.794547,-9.786103
0.810000,-0.057409,-0.124382,-0.057437,-0.124294,0.007735,-9.793839,-9.786103
0.820000,-0.058624,-0.118693,-0.058652,-0.118599,0.007044,-9.793147,-9.786103
0.830000,-0.059782,-0.112888,-0.059809,-0.112788,0.006372,-9.792475,-9.786103
0.840000,-0.060882,-0.106973,-0.060907,-0.106867,0.005722,-9.791825,-9.786103
0.850000,-0.061921,-0.100953,-0.061946,-0.100840,0.005096,-9.791199,-9.786103
0.860000,-0.062900,-0.094834,-0.062924,-0.094715,0.004497,-9.790600,-9.786103
0.870000,-0.063818,-0.088622,-0.063840,-0.088497,0.003927,-9.790030,-9.786103
0.880000,-0.064672,-0.082323,-0.064694,-0.082192,0.003389,-9.789492,-9.786103
0.890000,-0.065464,-0.075944,-0.065484,-0.075806,0.002884,-9.788987,-9.786103
0.900000,-0.066191,-0.069491,-0.066209,-0.069346,0.002414,-9.788518,-9.786103
0.910000,-0.066853,-0.062969,-0.066870,-0.062818,0.001983,-9.788086,-9.786103
0.920000,-0.067450,-0.056386,-0.067466,-0.056228,0.001590,-9.787693,-9.786103
0.930000,-0.067981,-0.049748,-0.067995,-0.049583,0.001237,-9.787341,-9.786103
0.940000,-0.068445,-0.043060,-0.068457,-0.042890,0.000927,-9.787030,-9.786103
0.950000,-0.068842,-0.036331,-0.068852,-0.036154,0.000660,-9.786763,-9.786103
0.960000,-0.069171,-0.029567,-0.069180,-0.029383,0.000437,-9.786540,-9.786103
0.970000,-0.069433,-0.022773,-0.069440,-0.022583,0.000259,-9.786363,-9.786103
0.980000,-0.069627,-0.015957,-0.069632,-0.015761,0.000127,-9.786231,-9.786103
0.990000,-0.069752,-0.009125,-0.069755,-0.008924,0.000042,-9.786145,-9.786103
1.000000,-0.069809,-0.002285,-0.069810,-0.002077,0.000003,-9.786106,-9.786103
1.010000,-0.069798,0.004558,-0.069797,0.004771,0.000010,-9.786114,-9.786103
1.020000,-0.069718,0.011396,-0.069715,0.011614,0.000065,-9.786168,-9.786103
1.030000,-0.069570,0.018223,-0.069564,0.018447,0.000166,-9.786269,-9.786103
1.040000,-0.069354,0.025033,-0.069346,0.025261,0.000313,-9.786417,-9.786103
1.050000,-0.069070,0.031817,-0.069059,0.032050,0.000506,-9.786610,-9.786103
1.060000,-0.068718,0.038571,-0.068705,0.038808,0.000744,-9.786847,-9.786103
1.070000,-0.068298,0.045287,-0.068283,0.045528,0.001025,-9.787129,-9.786103
1.080000,-0.067812,0.051959,-0.067794,0.052203,0.001350,-9.787453,-9.786103
1.090000,-0.067259,0.058579,-0.067239,0.058827,0.001716,-9.787819,-9.786103
1.100000,-0.066641,0.065143,-0.066618,0.065393,0.002122,-9.788225,-9.786103
1.110000,-0.065957,0.071642,-0.065932,0.071895,0.002566,-9.788670,-9.786103
1.120000,-0.065208,0.078072,-0.065180,0.078327,0.003048,-9.789151,-9.786103
1.130000,-0.064395,0.084425,-0.064365,0.084681,0.003564,-9.789667,-9.786103
1.140000,-0.063520,0.090696,-0.063487,0.090953,0.004113,-9.790216,-9.786103
1.150000,-0.062582,0.096877,-0.062547,0.097136,0.004693,-9.790796,-9.786103
1.160000,-0.061583,0.102964,-0.061545,0.103223,0.005301,-9.791404,-9.786103
1.170000,-0.060523,0.108950,-0.060482,0.109209,0.005935,-9.792038,-9.786103
1.180000,-0.059404,0.114829,-0.059361,0.115087,0.006593,-9.792696,-9.786103
1.190000,-0.058227,0.120596,-0.058181,0.120853,0.007272,-9.793375,-9.786103
1.200000,-0.056992,0.126245,-0.056944,0.126501,0.007969,-9.794072,-9.786103
1.210000,-0.055702,0.131770,-0.055651,0.132024,0.008682,-9.794785,-9.786103
1.220000,-0.054357,0.137167,-0.054304,0.137418,0.009407,-9.795511,-9.786103
1.230000,-0.052959,0.142428,-0.052904,0.142677,0.010143,-9.796246,-9.786103
1.240000,-0.051509,0.147551,-0.051451,0.147796,0.010886,-9.796989,-9.786103
1.250000,-0.050009,0.152528,-0.049948,0.152770,0.011632,-9.797736,-9.786103
1.260000,-0.048459,0.157357,-0.048396,0.157594,0.012381,-9.798484,-9.786103
1.270000,-0.046862,0.162031,-0.046797,0.162264,0.013127,-9.799230,-9.786103
1.280000,-0.045219,0.166546,-0.045151,0.166774,0.013869,-9.799972,-9.786103
1.290000,-0.043532,0.170898,-0.043462,0.171121,0.014603,-9.800706,-9.786103
1.300000,-0.041802,0.175083,-0.041730,0.175300,0.015327,-9.801430,-9.786103
1.310000,-0.040031,0.179096,-0.039956,0.179307,0.016038,-9.802141,-9.786103
1.320000,-0.038220,0.182934,-0.038144,0.183138,0.016732,-9.802836,-9.786103
1.330000,-0.036373,0.186592,-0.036294,0.186789,0.017408,-9.803512,-9.786103
1.340000,-0.034489,0.190067,-0.034409,0.190258,0.018063,-9.804166,-9.786103
1.350000,-0.032572,0.193356,-0.032490,0.193539,0.018693,-9.804797,-9.786103
1.360000,-0.030623,0.196455,-0.030539,0.196631,0.019297,-9.805401,-9.786103
1.370000,-0.028643,0.199362,-0.028558,0.199530,0.019873,-9.805976,-9.786103
1.380000,-0.026636,0.202074,-0.026549,0.202233,0.020417,-9.806520,-9.786103
1.390000,-0.024603,0.204587,-0.024514,0.204738,0.020928,-9.807031,-9.786103
1.400000,-0.022545,0.206899,-0.022455,0.207042,0.021404,-9.807507,-9.786103
1.410000,-0.020465,0.209009,-0.020374,0.209143,0.021842,-9.807946,-9.786103
1.420000,-0.018365,0.210914,-0.018272,0.211039,0.022242,-9.808346,-9.786103
1.430000,-0.016248,0.212612,-0.016153,0.212727,0.022602,-9.808705,-9.786103
1.440000,-0.014114,0.214101,-0.014019,0.214208,0.022920,-9.809023,-9.786103
1.450000,-0.011966,0.215380,-0.011870,0.215477,0.023194,-9.809298,-9.786103
1.460000,-0.009807,0.216448,-0.009710,0.216536,0.023425,-9.809528,-9.786103
1.470000,-0.007638,0.217304,-0.007540,0.217382,0.023611,-9.809714,-9.786103
1.480000,-0.005462,0.217947,-0.005363,0.218015,0.023750,-9.809854,-9.786103
1.490000,-0.003280,0.218375,-0.003180,0.218434,0.023844,-9.809947,-9.786103
1.500000,-0.001095,0.218590,-0.000995,0.218639,0.023891,-9.809994,-9.786103
1.510000,0.001091,0.218590,0.001192,0.218629,0.023891,-9.809994,-9.786103
1.520000,0.003276,0.218376,0.003377,0.218405,0.023844,-9.809947,-9.786103
1.530000,0.005458,0.217947,0.005559,0.217967,0.023751,-9.809854,-9.786103
1.540000,0.007634,0.217305,0.007736,0.217315,0.023611,-9.809714,-9.786103
1.550000,0.009803,0.216450,0.009905,0.216449,0.023425,-9.809529,-9.786103
1.560000,0.011963,0.215382,0.012064,0.215372,0.023195,-9.809298,-9.786103
1.570000,0.014110,0.214103,0.014211,0.214083,0.022920,-9.809023,-9.786103
1.580000,0.016244,0.212614,0.016345,0.212584,0.022602,-9.808706,-9.786103
1.590000,0.018362,0.210917,0.018462,0.210877,0.022243,-9.808346,-9.786103
1.600000,0.020462,0.209012,0.020562,0.208962,0.021843,-9.807946,-9.786103
1.610000,0.022541,0.206903,0.022641,0.206843,0.021404,-9.807508,-9.786103
1.620000,0.024599,0.204591,0.024698,0.204521,0.020929,-9.807032,-9.786103
1.630000,0.026633,0.202078,0.026731,0.201998,0.020418,-9.806521,-9.786103
1.640000,0.028640,0.199367,0.028737,0.199277,0.019874,-9.805977,-9.786103
1.650000,0.030619,0.196461,0.030716,0.196361,0.019298,-9.805402,-9.786103
1.660000,0.032569,0.193361,0.032664,0.193252,0.018694,-9.804798,-9.786103
1.670000,0.034486,0.190073,0.034580,0.189953,0.018064,-9.804167,-9.786103
1.680000,0.036369,0.186598,0.036462,0.186468,0.017409,-9.803513,-9.786103
1.690000,0.038217,0.182940,0.038309,0.182800,0.016733,-9.802837,-9.786103
1.700000,0.040028,0.179103,0.040118,0.178953,0.016039,-9.802142,-9.786103
1.710000,0.041799,0.175090,0.041887,0.174931,0.015328,-9.801432,-9.786103
1.720000,0.043529,0.170905,0.043616,0.170736,0.014604,-9.800708,-9.786103
1.730000,0.045216,0.166554,0.045301,0.166375,0.013870,-9.799973,-9.786103
1.740000,0.046859,0.162038,0.046943,0.161850,0.013128,-9.799232,-9.786103
1.750000,0.048457,0.157365,0.048538,0.157166,0.012382,-9.798485,-9.786103
1.760000,0.050006,0.152537,0.050085,0.152328,0.011634,-9.797737,-9.786103
1.770000,0.051507,0.147559,0.051584,0.147341,0.010887,-9.796990,-9.786103
1.780000,0.052957,0.142437,0.053032,0.142209,0.010144,-9.796247,-9.786103
1.790000,0.054355,0.137176,0.054428,0.136938,0.009409,-9.795512,-9.786103
1.800000,0.055700,0.131780,0.055770,0.131532,0.008683,-9.794786,-9.786103
1.810000,0.056990,0.126255,0.057058,0.125997,0.007970,-9.794073,-9.786103
1.820000,0.058225,0.120606,0.058290,0.120339,0.007273,-9.793376,-9.786103
1.830000,0.059402,0.114839,0.059464,0.114563,0.006594,-9.792697,-9.786103
1.840000,0.060521,0.108960,0.060580,0.108674,0.005936,-9.792039,-9.786103
1.850000,0.061581,0.102974,0.061637,0.102679,0.005302,-9.791405,-9.786103
1.860000,0.062580,0.096888,0.062634,0.096583,0.004694,-9.790797,-9.786103
1.870000,0.063518,0.090706,0.063569,0.090392,0.004114,-9.790217,-9.786103
1.880000,0.064394,0.084436,0.064441,0.084113,0.003565,-9.789668,-9.786103
1.890000,0.065207,0.078083,0.065251,0.077751,0.003048,-9.789152,-9.786103
1.900000,0.065955,0.071653,0.065996,0.071313,0.002567,-9.788670,-9.786103
1.910000,0.066639,0.065154,0.066677,0.064805,0.002123,-9.788226,-9.786103
1.920000,0.067258,0.058590,0.067292,0.058233,0.001716,-9.787820,-9.786103
1.930000,0.067811,0.051970,0.067841,0.051604,0.001350,-9.787454,-9.786103
1.940000,0.068297,0.045298,0.068324,0.044925,0.001026,-9.787129,-9.786103
1.950000,0.068717,0.038582,0.068740,0.038201,0.000744,-9.786848,-9.786103
1.960000,0.069069,0.031829,0.069088,0.031440,0.000507,-9.786610,-9.786103
1.970000,0.069353,0.025044,0.069368,0.024648,0.000314,-9.786417,-9.786103
1.980000,0.069570,0.018235,0.069581,0.017832,0.000166,-9.786270,-9.786103
1.990000,0.069718,0.011408,0.069725,0.010999,0.000065,-9.786168,-9.786103
2.000000,0.069798,0.004569,0.069801,0.004155,0.000010,-9.786114,-9.786103
2.010000,0.069809,-0.002273,0.069808,-0.002694,0.000003,-9.786106,-9.786103
2.020000,0.069752,-0.009114,0.069747,-0.009539,0.000042,-9.786145,-9.786103
2.030000,0.069627,-0.015945,0.069617,-0.016376,0.000127,-9.786230,-9.786103
2.040000,0.069434,-0.022761,0.069419,-0.023196,0.000259,-9.786362,-9.786103
2.050000,0.069172,-0.029555,0.069153,-0.029994,0.000437,-9.786540,-9.786103
2.060000,0.068843,-0.036320,0.068819,-0.036762,0.000660,-9.786763,-9.786103
2.070000,0.068446,-0.043049,0.068418,-0.043494,0.000927,-9.787030,-9.786103
2.080000,0.067982,-0.049736,0.067950,-0.050183,0.001237,-9.787340,-9.786103
2.090000,0.067451,-0.056375,0.067415,-0.056823,0.001589,-9.787692,-9.786103
2.100000,0.066854,-0.062958,0.066813,-0.063408,0.001982,-9.788085,-9.786103
2.110000,0.066192,-0.069480,0.066147,-0.069930,0.002414,-9.788517,-9.786103
2.120000,0.065465,-0.075933,0.065415,-0.076384,0.002883,-9.788986,-9.786103
2.130000,0.064674,-0.082313,0.064619,-0.082762,0.003388,-9.789491,-9.786103
2.140000,0.063819,-0.088611,0.063760,-0.089060,0.003926,-9.790029,-9.786103
2.150000,0.062902,-0.094823,0.062838,-0.095270,0.004496,-9.790599,-9.786103
2.160000,0.061923,-0.100943,0.061855,-0.101387,0.005095,-9.791198,-9.786103
2.170000,0.060883,-0.106963,0.060811,-0.107404,0.005721,-9.791824,-9.786103
2.180000,0.059784,-0.112879,0.059707,-0.113316,0.006371,-9.792474,-9.786103
2.190000,0.058626,-0.118684,0.058545,-0.119117,0.007043,-9.793146,-9.786103
2.200000,0.057411,-0.124373,0.057325,-0.124801,0.007734,-9.793838,-9.786103
2.210000,0.056139,-0.129940,0.056049,-0.130362,0.008442,-9.794545,-9.786103
2.220000,0.054812,-0.135379,0.054719,-0.135796,0.009164,-9.795267,-9.786103
2.230000,0.053432,-0.140687,0.053334,-0.141096,0.009896,-9.796000,-9.786103
2.240000,0.051999,-0.145856,0.051897,-0.146258,0.010637,-9.796740,-9.786103
2.250000,0.050515,-0.150883,0.050409,-0.151277,0.011383,-9.797486,-9.786103
2.260000,0.048982,-0.155761,0.048872,-0.156147,0.012131,-9.798234,-9.786103
2.270000,0.047401,-0.160487,0.047287,-0.160864,0.012878,-9.798981,-9.786103
2.280000,0.045773,-0.165056,0.045655,-0.165423,0.013622,-9.799725,-9.786103
2.290000,0.044100,-0.169463,0.043979,-0.169820,0.014359,-9.800462,-9.786103
2.300000,0.042384,-0.173705,0.042259,-0.174050,0.015087,-9.801190,-9.786103
2.310000,0.040626,-0.177775,0.040498,-0.178110,0.015802,-9.801905,-9.786103
2.320000,0.038829,-0.181672,0.038698,-0.181995,0.016502,-9.802606,-9.786103
2.330000,0.036994,-0.185390,0.036859,-0.185701,0.017185,-9.803288,-9.786103
2.340000,0.035122,-0.188927,0.034984,-0.189225,0.017847,-9.803950,-9.786103
2.350000,0.033216,-0.192279,0.033075,-0.192564,0.018486,-9.804589,-9.786103
2.360000,0.031277,-0.195442,0.031134,-0.195714,0.019099,-9.805202,-9.786103
2.370000,0.029307,-0.198413,0.029162,-0.198671,0.019684,-9.805787,-9.786103
2.380000,0.027309,-0.201190,0.027161,-0.201434,0.020239,-9.806342,-9.786103
2.390000,0.025284,-0.203770,0.025134,-0.203999,0.020761,-9.806864,-9.786103
2.400000,0.023235,-0.206150,0.023082,-0.206365,0.021249,-9.807352,-9.786103
2.410000,0.021162,-0.208327,0.021007,-0.208527,0.021700,-9.807803,-9.786103
2.420000,0.019069,-0.210301,0.018912,-0.210485,0.022113,-9.808217,-9.786103
2.430000,0.016957,-0.212068,0.016798,-0.212237,0.022486,-9.808590,-9.786103
2.440000,0.014828,-0.213627,0.014668,-0.213781,0.022818,-9.808922,-9.786103
2.450000,0.012685,-0.214976,0.012523,-0.215115,0.023107,-9.809211,-9.786103
2.460000,0.010529,-0.216115,0.010366,-0.216237,0.023353,-9.809456,-9.786103
2.470000,0.008363,-0.217042,0.008199,-0.217148,0.023554,-9.809657,-9.786103
2.480000,0.006189,-0.217756,0.006024,-0.217846,0.023709,-9.809812,-9.786103
